time,CO,NO2,O3,SO2
31/01/2019,0.03907986,0.000160732,0.12760657,0.000246088
28/02/2019,0.036879417,9.50E-05,0.12961549,0.000152791
31/03/2019,0.037181336,7.58E-05,0.1335332,0.00020921
30/04/2019,0.037768785,7.80E-05,0.12815069,0.000267617
31/05/2019,0.04015364,8.75E-05,0.13383077,0.000165161
30/06/2019,0.038332745,9.07E-05,0.13161111,0.000119158
31/07/2019,0.036568556,5.33E-05,0.12889723,-0.000156191
31/08/2019,0.038894627,6.49E-05,0.12780292,-1.90E-05
30/09/2019,0.040268406,6.76E-05,0.12522432,0.000111528
31/10/2019,0.04783344,9.67E-05,0.12584436,8.41E-05
30/11/2019,0.03614144,0.000127843,0.1265967,0.000385751
31/12/2019,0.04030993,0.000158714,0.13655798,0.000365971
31/01/2020,0.03776863,0.000137941,0.13575728,0.000132522
29/02/2020,0.04578397,0.000117005,0.14076023,4.71E-05
31/03/2020,0.035902012,6.58E-05,0.13911317,-1.18E-05
30/04/2020,0.04088465,4.36E-05,0.13508348,5.11E-05
31/05/2020,0.039925903,7.39E-05,0.12859388,7.95E-05
30/06/2020,0.037170358,7.25E-05,0.12685849,4.83E-05
31/07/2020,0.040409148,6.42E-05,0.12603165,-0.000190416
31/08/2020,,5.56E-05,,
30/09/2020,,0.000109569,,
31/10/2020,0.042089887,0.000102513,0.12016101,0.000138446
30/11/2020,0.0420727,0.000104401,0.12579536,0.000245356
31/12/2020,0.04326611,0.00016215,0.1276496,0.0004786
31/01/2021,0.043807805,0.000148255,0.12103608,0.00013251
28/02/2021,0.053727932,8.33E-05,0.12977369,9.90E-05
31/03/2021,0.037579205,8.82E-05,0.13856354,0.000117095
30/04/2021,0.039641667,9.26E-05,0.14103355,0.000217684
31/05/2021,0.039546996,0.00011017,0.1331297,0.000144155
30/06/2021,0.03906568,0.000112858,0.13215548,0.000179372
31/07/2021,0.036888238,3.97E-05,0.12776949,-0.000132967
31/08/2021,0.044043135,5.09E-05,0.12709163,9.42E-05
30/09/2021,0.038288835,,0.12564065,-4.73E-06
31/10/2021,0.038591906,0.000115144,0.12685448,0.000105786
30/11/2021,0.0508608,0.000134448,0.117823035,0.000296699
31/12/2021,0.044433016,0.000153868,0.1360207,0.00034828
31/01/2022,0.0404751,0.000173903,0.12702377,0.000250604
28/02/2022,0.03951118,0.000120644,0.1415323,0.000422671
31/03/2022,0.041901544,9.65E-05,0.13855574,2.23E-05
30/04/2022,,0.00010885,,
31/05/2022,0.043440517,8.65E-05,0.13005902,0.000212947
30/06/2022,0.040444613,8.49E-05,0.1321788,0.000183419
31/07/2022,0.03723607,4.89E-05,0.12846819,-0.00010632
31/08/2022,0.035170387,4.81E-05,0.12656848,-2.34E-05
30/09/2022,0.038441967,8.04E-05,0.12700635,6.66E-05
31/10/2022,0.0414756,9.68E-05,0.12497218,0.000101815
30/11/2022,0.03975635,0.00016789,0.11984251,0.000335449
31/12/2022,0.041374125,0.000143015,0.12229284,0.00038288
31/01/2023,0.03801304,0.000124982,0.12900177,0.000372143
28/02/2023,0.043814603,9.50E-05,0.12843779,0.000174104
31/03/2023,0.036172368,5.73E-05,0.1351152,0.000132401
30/04/2023,0.038436044,,0.14057127,0.00018459
31/05/2023,0.03735314,8.73E-05,0.1342386,0.000172397
30/06/2023,0.040072497,7.66E-05,0.1284125,-4.09E-05
31/07/2023,0.03630861,4.91E-05,0.12709902,1.50E-05
31/08/2023,0.03751247,6.41E-05,0.12844922,7.85E-05
30/09/2023,0.03726104,5.78E-05,0.12696664,2.96E-05
31/10/2023,0.048934158,8.04E-05,0.12553973,6.57E-05
30/11/2023,0.043014694,9.93E-05,0.14290228,0.000235469
31/12/2023,0.040193584,0.000143354,0.13794686,-3.47E-05
31/01/2024,0.04062793,0.000153268,0.15699363,0.000480911
29/02/2024,,8.78E-05,,
31/03/2024,0.039049372,6.12E-05,0.14048176,0.000245181
30/04/2024,0.038298458,6.15E-05,0.15245871,0.000130398
31/05/2024,0.045379855,9.69E-05,0.13797541,0.000143785
30/06/2024,0.04318841,7.00E-05,0.13559291,0.00011164
31/07/2024,0.040052865,5.78E-05,0.13068928,7.86E-06
31/08/2024,0.03711622,3.96E-05,0.12793303,2.04E-05
30/09/2024,0.04099958,4.61E-05,0.1279138,6.48E-05
31/10/2024,0.048005443,7.79E-05,0.12264751,9.10E-05
30/11/2024,0.05039653,0.000133479,0.12507083,0.00015912
31/12/2024,0.046322428,9.91E-05,0.12898998,0.00010751
