time,CO,NO2,O3,SO2
31/01/2019,0.03593401,0.000148728,0.13393942,0.000327463
28/02/2019,0.03514747,0.000117597,0.13888419,8.71E-05
31/03/2019,0.034130506,6.16E-05,0.13892497,3.17E-05
30/04/2019,0.034991514,6.17E-05,0.12911423,0.000163649
31/05/2019,0.035217393,5.96E-05,0.13955572,8.12E-05
30/06/2019,0.03542898,6.95E-05,0.1344415,0.000119066
31/07/2019,0.035231046,5.26E-05,0.12944089,-6.62E-06
31/08/2019,0.03605273,5.51E-05,0.12884966,5.89E-05
30/09/2019,0.037061248,5.73E-05,0.12463316,4.36E-05
31/10/2019,0.035537355,8.66E-05,0.12887982,7.17E-05
30/11/2019,0.034436215,0.00010245,0.1314953,0.000485137
31/12/2019,0.03739467,0.000151089,0.13917677,0.00109539
31/01/2020,0.03663813,0.000135225,0.14152722,0.000333326
29/02/2020,0.039494712,0.000141782,0.1392761,8.13E-05
31/03/2020,0.034441818,6.77E-05,0.14522745,-3.72E-06
30/04/2020,0.036697507,3.84E-05,0.1355014,2.67E-05
31/05/2020,0.037788983,4.86E-05,0.12732978,0.000136099
30/06/2020,0.040675037,5.49E-05,0.1277074,-6.57E-05
31/07/2020,0.03680704,6.35E-05,0.12677105,-1.99E-05
31/08/2020,,5.20E-05,,
30/09/2020,,8.74E-05,,
31/10/2020,0.03767065,0.000103487,0.12090795,3.12E-05
30/11/2020,0.037848912,0.000103311,0.12736678,0.000349217
31/12/2020,0.03806339,0.000171255,0.13314117,0.000869335
31/01/2021,0.04017076,0.000155928,0.12789541,0.000468026
28/02/2021,0.04045914,0.000103046,0.13129286,0.000152657
31/03/2021,0.035104096,8.49E-05,0.1425337,4.31E-05
30/04/2021,0.03607984,7.46E-05,0.14365473,1.62E-06
31/05/2021,0.035883214,7.47E-05,0.13752148,9.07E-05
30/06/2021,0.03608311,0.000135137,0.13401332,7.38E-05
31/07/2021,0.034734566,5.19E-05,0.12878254,2.40E-05
31/08/2021,0.043774087,6.47E-05,0.12768947,7.60E-05
30/09/2021,0.037771273,,0.12453258,6.98E-07
31/10/2021,0.03472743,0.000102471,0.12929231,0.000142663
30/11/2021,0.040526364,0.000126913,0.121108875,0.000364074
31/12/2021,0.038379114,0.000159733,0.13909093,0.000570337
31/01/2022,0.040815007,0.000159872,0.1311845,0.000405451
28/02/2022,0.035869878,0.000127518,0.14143851,0.000264355
31/03/2022,0.034717564,8.33E-05,0.14107333,-2.06E-05
30/04/2022,,7.82E-05,,
31/05/2022,0.038147617,8.47E-05,0.12996706,9.24E-05
30/06/2022,0.036727473,7.77E-05,0.13341206,8.43E-05
31/07/2022,0.03662516,4.85E-05,0.12836932,-7.75E-05
31/08/2022,0.035035785,6.38E-05,0.12712885,2.60E-05
30/09/2022,0.03565572,9.79E-05,0.12673344,9.03E-06
31/10/2022,0.034761768,0.000100189,0.12557416,0.00011478
30/11/2022,0.033066638,0.0001998,0.12235768,0.00041422
31/12/2022,0.037263863,0.000145935,0.12758403,0.000591693
31/01/2023,0.035496183,0.00011199,0.13818248,0.000324193
28/02/2023,0.035340417,0.000105901,0.13425036,0.000122629
31/03/2023,0.031958416,7.83E-05,0.1394116,2.55E-05
30/04/2023,0.033799477,,0.14378588,3.06E-05
31/05/2023,0.034583826,5.52E-05,0.13629913,4.53E-05
30/06/2023,0.036600564,6.11E-05,0.12774545,3.86E-05
31/07/2023,0.033921357,4.70E-05,0.127512,-4.26E-05
31/08/2023,0.036714323,5.42E-05,0.12887588,9.23E-06
30/09/2023,0.031914104,5.78E-05,0.12797815,-1.58E-05
31/10/2023,0.040328197,9.75E-05,0.12645781,0.000302627
30/11/2023,0.03668476,0.000121801,0.14357568,9.86E-05
31/12/2023,0.044429623,0.000128142,0.1410025,0.001236829
31/01/2024,0.03458686,0.000134362,0.1617666,
29/02/2024,,0.000100705,,
31/03/2024,0.033973124,6.75E-05,0.14797688,0.000208831
30/04/2024,0.035290334,5.49E-05,0.15989998,3.41E-05
31/05/2024,0.038650762,6.58E-05,0.13931482,2.93E-05
30/06/2024,0.03979917,6.42E-05,0.13886319,6.97E-05
31/07/2024,0.03811084,5.12E-05,0.13155138,-7.35E-06
31/08/2024,0.036492713,5.25E-05,0.12918772,2.38E-05
30/09/2024,0.038137462,4.24E-05,0.12752403,8.03E-06
31/10/2024,0.039117195,5.84E-05,0.12416815,7.39E-05
30/11/2024,0.03746515,9.65E-05,0.12815626,0.000283385
31/12/2024,0.043221667,0.000132398,0.13428546,0.000242079
