time,CO,NO2,O3,SO2
31/01/2019,0.038176116,0.000114598,0.10862361,0.000135651
28/02/2019,0.03458936,8.35E-05,0.1123364,0.000139186
31/03/2019,0.035003748,7.33E-05,0.11827009,0.000106264
30/04/2019,0.035192534,5.41E-05,0.12322317,4.35E-05
31/05/2019,0.032460183,4.37E-05,0.12502506,6.07E-05
30/06/2019,0.031524476,4.80E-05,0.12680206,5.46E-05
31/07/2019,0.032133408,3.51E-05,0.12719107,-4.86E-05
31/08/2019,0.03291346,3.50E-05,0.1264163,-2.86E-05
30/09/2019,0.03310898,5.94E-05,0.12194477,5.03E-05
31/10/2019,0.034000255,9.59E-05,0.12101135,0.000112852
30/11/2019,0.035394,6.76E-05,0.112581484,6.73E-05
31/12/2019,0.034062568,8.28E-05,0.120847784,8.85E-05
31/01/2020,0.036965355,7.98E-05,0.12215875,-2.66E-05
29/02/2020,0.03898813,7.81E-05,0.12991224,0.000107041
31/03/2020,0.035399023,6.73E-05,0.13044198,5.03E-05
30/04/2020,0.036980554,4.88E-05,0.12748024,7.99E-05
31/05/2020,0.033069164,3.43E-05,0.12503521,2.35E-05
30/06/2020,0.030848598,4.15E-05,0.12876351,-6.07E-05
31/07/2020,0.03289308,4.72E-05,0.1258416,4.99E-05
31/08/2020,0.029689068,4.16E-05,0.122076936,-0.000507661
30/09/2020,,6.13E-05,,
31/10/2020,0.03561845,0.00010532,0.11899843,6.66E-05
30/11/2020,0.038324744,7.60E-05,0.122150734,7.56E-06
31/12/2020,0.036748547,9.63E-05,0.1171927,7.26E-05
31/01/2021,0.03809964,0.000145758,0.11298285,3.16E-05
28/02/2021,0.0380196,8.49E-05,0.12297515,0.000133963
31/03/2021,0.036322694,9.90E-05,0.12449847,0.000132122
30/04/2021,0.033951085,6.83E-05,0.13019542,0.000220656
31/05/2021,0.033633307,3.96E-05,0.12751189,9.41E-05
30/06/2021,0.030861082,4.27E-05,0.13033208,2.95E-05
31/07/2021,0.0323975,3.40E-05,0.12702054,1.34E-05
31/08/2021,0.037918705,7.61E-05,0.12673585,5.20E-05
30/09/2021,0.035679,,0.12649095,6.19E-05
31/10/2021,0.034116827,9.52E-05,0.12071031,-1.12E-05
30/11/2021,0.037408967,9.14E-05,0.11613678,-3.82E-06
31/12/2021,0.03926483,8.83E-05,0.11872511,0.000231493
31/01/2022,0.036169983,0.000100846,0.12235994,0.00020458
28/02/2022,0.040765855,0.000105905,0.13247912,0.000111919
31/03/2022,0.03953811,8.49E-05,0.1324396,0.000164738
30/04/2022,,5.11E-05,,
31/05/2022,0.031801727,3.79E-05,0.12939267,9.43E-05
30/06/2022,0.03177142,3.95E-05,0.13284951,4.84E-05
31/07/2022,0.030037424,2.27E-05,0.12828262,-6.55E-05
31/08/2022,0.030824782,3.03E-05,0.12559557,1.50E-05
30/09/2022,0.030494485,3.84E-05,0.12611085,1.90E-05
31/10/2022,0.032671876,6.91E-05,0.121936716,5.18E-05
30/11/2022,0.03588993,9.15E-05,0.11382515,-8.63E-08
31/12/2022,0.035595253,7.41E-05,0.11035383,-6.87E-06
31/01/2023,0.034098845,7.16E-05,0.115493365,2.22E-05
28/02/2023,0.03538234,6.06E-05,0.11574663,0.000102771
31/03/2023,0.033853237,5.10E-05,0.12534744,0.000103477
30/04/2023,0.032223318,,0.13019305,1.26E-05
31/05/2023,0.03084335,3.06E-05,0.12944417,5.22E-05
30/06/2023,0.03281107,3.16E-05,0.12830053,-9.21E-06
31/07/2023,0.031048644,3.37E-05,0.12653263,-4.59E-06
31/08/2023,0.0337851,2.97E-05,0.12683539,1.38E-05
30/09/2023,0.03319925,4.98E-05,0.12760317,8.95E-05
31/10/2023,0.03402829,5.95E-05,0.124455914,0.000102021
30/11/2023,0.043927804,6.09E-05,0.12349626,-3.16E-05
31/12/2023,0.039548956,6.54E-05,0.12147955,7.02E-05
31/01/2024,0.034349803,8.06E-05,0.13521878,0.000104352
29/02/2024,,6.25E-05,,
31/03/2024,0.03661007,4.99E-05,0.12427864,0.000105406
30/04/2024,0.034874953,3.68E-05,0.13605799,5.87E-05
31/05/2024,0.036811877,4.02E-05,0.13291639,7.77E-05
30/06/2024,0.035569355,5.15E-05,0.13155243,5.85E-05
31/07/2024,0.034381174,3.27E-05,0.12661847,-5.80E-05
31/08/2024,0.032977276,3.00E-05,0.12693064,1.14E-05
30/09/2024,0.03425683,3.91E-05,0.12599823,3.78E-05
31/10/2024,0.036516126,5.82E-05,0.11941601,0.000100339
30/11/2024,0.040053293,7.88E-05,0.11831114,4.09E-05
31/12/2024,0.03828519,8.00E-05,0.11753732,1.68E-06
