time,CO,NO2,O3,SO2
31/01/2019,0.036825426,5.52E-05,0.1342765,0.000232609
28/02/2019,0.03368469,4.00E-05,0.14126843,4.81E-05
31/03/2019,0.033788726,2.91E-05,0.13977773,5.93E-07
30/04/2019,0.034253698,2.91E-05,0.13012813,0.000106902
31/05/2019,0.034425396,3.61E-05,0.13940202,3.28E-05
30/06/2019,0.034603596,4.85E-05,0.1345635,9.89E-05
31/07/2019,0.03535537,4.88E-05,0.13037083,-1.07E-05
31/08/2019,0.034868464,4.72E-05,0.12983316,6.60E-05
30/09/2019,0.038998116,5.10E-05,0.124105066,-3.17E-05
31/10/2019,0.03455757,4.23E-05,0.12950943,0.000146028
30/11/2019,0.031995658,4.06E-05,0.13235946,0.000626593
31/12/2019,0.037661187,6.24E-05,0.13903789,0.000977149
31/01/2020,0.036884394,4.84E-05,0.14262006,0.000614747
29/02/2020,0.037938315,5.53E-05,0.13915858,0.000123366
31/03/2020,0.03332533,3.19E-05,0.14707415,2.27E-05
30/04/2020,0.037416417,2.52E-05,0.13432084,-2.43E-05
31/05/2020,0.03740048,3.37E-05,0.12777835,7.81E-05
30/06/2020,,4.70E-05,0.12642571,-0.000254819
31/07/2020,0.03513799,5.52E-05,0.12640007,5.19E-06
31/08/2020,,4.99E-05,,
30/09/2020,,4.87E-05,,
31/10/2020,0.03831514,5.61E-05,0.12164891,1.69E-05
30/11/2020,0.03760048,3.93E-05,0.12775412,0.000401318
31/12/2020,0.035337675,5.15E-05,0.1348792,0.000509473
31/01/2021,0.037119646,5.29E-05,0.12969726,0.000453308
28/02/2021,0.03956382,5.03E-05,0.13229598,0.000201981
31/03/2021,0.03434709,4.08E-05,0.14282966,-2.97E-05
30/04/2021,0.035128135,3.17E-05,0.14456137,7.73E-05
31/05/2021,0.034160875,4.17E-05,0.13724975,4.84E-05
30/06/2021,0.0350944,6.16E-05,0.13445994,0.000123465
31/07/2021,0.037894875,4.40E-05,0.12920852,-7.70E-05
31/08/2021,0.041020587,,0.12797771,0.000123089
30/09/2021,0.040062077,,0.12413373,-4.30E-05
31/10/2021,0.033387933,4.69E-05,0.13030557,0.000169476
30/11/2021,0.04408897,5.86E-05,0.12425634,0.000541719
31/12/2021,0.04090144,5.56E-05,0.13988246,0.000745911
31/01/2022,0.03651642,4.20E-05,0.13204424,0.000316113
28/02/2022,0.038062338,4.09E-05,0.14192748,-9.87E-05
31/03/2022,0.03687115,4.44E-05,0.14154708,-1.47E-05
30/04/2022,,3.36E-05,,
31/05/2022,0.035547875,4.87E-05,0.13068901,8.37E-05
30/06/2022,0.0351515,5.70E-05,0.13390134,9.89E-05
31/07/2022,0.035771284,4.42E-05,0.12887779,9.69E-06
31/08/2022,0.0342341,4.13E-05,0.12744427,4.12E-05
30/09/2022,0.034984898,4.92E-05,0.12685215,-5.32E-06
31/10/2022,0.036199342,5.14E-05,0.12547135,9.58E-05
30/11/2022,0.032289412,7.22E-05,0.12274257,0.00036756
31/12/2022,0.036167018,5.77E-05,0.12908964,0.000640625
31/01/2023,0.0342917,3.36E-05,0.1403312,0.000331076
28/02/2023,0.035568077,4.27E-05,0.1352267,0.000116075
31/03/2023,0.03223301,2.78E-05,0.13995133,7.72E-05
30/04/2023,0.034848154,,0.14379013,-1.59E-05
31/05/2023,0.034107942,4.06E-05,0.1369562,-3.62E-06
30/06/2023,0.036054168,4.43E-05,0.1283891,3.74E-05
31/07/2023,0.034286533,4.48E-05,0.12766182,1.02E-05
31/08/2023,0.036187924,5.08E-05,0.12930454,3.77E-05
30/09/2023,0.032056067,4.61E-05,0.12865567,-6.23E-05
31/10/2023,0.0418353,4.76E-05,0.12614593,0.000172368
30/11/2023,0.03721032,5.38E-05,0.14491338,0.000780224
31/12/2023,0.04158795,4.74E-05,0.14258906,0.000657776
31/01/2024,0.044598892,4.27E-05,0.16224778,-0.000147949
29/02/2024,,4.20E-05,,
31/03/2024,0.034107056,3.04E-05,0.1495105,8.67E-05
30/04/2024,0.034655087,3.06E-05,0.16048689,1.45E-05
31/05/2024,0.035744265,4.36E-05,0.13992669,1.25E-05
30/06/2024,0.03853127,5.12E-05,0.13947494,4.07E-05
31/07/2024,0.037969124,5.05E-05,0.1321727,5.16E-05
31/08/2024,0.03709116,4.15E-05,0.12959261,-2.16E-06
30/09/2024,0.04076353,4.92E-05,0.12772816,-6.41E-05
31/10/2024,0.043031797,4.86E-05,0.12455652,0.000117533
30/11/2024,0.038249474,6.93E-05,0.12847717,8.66E-05
31/12/2024,0.04417886,5.27E-05,0.13553542,0.000185327
